"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Gangplank","Top",4,"19.0%","9.5%","28.6%","75%","75%",13,8,32,5.6,"66.2%","21.1%","25%",264,235,1,7.8,"25.2%",636,"28.5%","22.8%",0.5,0.12
"Gragas","Jungle",2,"9.5%","0.0%","9.5%","0%","100%",3,7,5,1.1,"80.0%","20.0%","0%",-328,-186,2,4.3,"9.4%",266,"22.3%","17.6%",0.33,0.25
"Hecarim","Jungle",1,"4.8%","52.4%","76.2%","0%","100%",4,4,4,2,"100.0%","19.0%","100%",-263,-44,-19,5.3,"16.0%",322,"21.1%","21.6%",0.65,0.22
"Hecarim","Top",4,"19.0%","52.4%","76.2%","50%","25%",14,10,16,3,"60.0%","15.2%","0%",-218,-267,-10.5,7.4,"22.8%",385,"21.5%","21.6%",0.5,0.2
"Irelia","Top",2,"9.5%","23.8%","33.3%","100%","0%",14,6,10,4,"68.6%","35.3%","100%",-208,-360,-1,8.9,"30.2%",452,"28.9%","26.7%",0.4,0.06
"Jarvan IV","Jungle",11,"52.4%","23.8%","90.5%","45%","73%",20,26,84,4,"70.7%","16.0%","27%",-131,-154,-1.3,4.5,"12.1%",169,"9.0%","16.2%",0.82,0.42
"Jarvan IV","Top",3,"14.3%","23.8%","90.5%","67%","67%",4,10,29,3.3,"80.5%","33.3%","33%",-61,132,-1.7,7.3,"23.4%",424,"24.5%","19.2%",0.42,0.11
"Jayce","Middle",1,"4.8%","38.1%","57.1%","100%","100%",5,0,5,10,"47.6%","0.0%","0%",75,-162,-9,7.6,"21.7%",650,"23.8%","24.4%",0.27,0.11
"Jayce","Top",3,"14.3%","38.1%","57.1%","33%","33%",8,8,11,2.4,"73.1%","18.6%","33%",161,-125,4.3,9,"30.4%",543,"34.8%","27.6%",0.56,0.24
"Jinx","ADC",4,"19.0%","9.5%","28.6%","0%","50%",11,12,10,1.8,"58.3%","16.9%","25%",-414,-572,-6,9.8,"28.9%",345,"23.3%","27.8%",0.31,0.22
