"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Renekton","Top",13,"35.1%","48.6%","83.8%","69%","23%",37,36,91,3.6,"63.1%","22.5%","46%",277,110,5.6,7.8,"23.2%",417,"19.9%","21.5%",0.38,0.21
"Ryze","Middle",2,"5.4%","8.1%","13.5%","0%","50%",6,11,5,1,"64.7%","28.9%","0%",-21,212,-0.5,8.7,"24.0%",566,"29.1%","25.3%",0.54,0.2
"Samira","ADC",2,"5.4%","10.8%","16.2%","0%","100%",4,6,10,2.3,"60.9%","16.7%","50%",127,-100,-0.5,9.6,"30.1%",337,"20.2%","26.2%",0.51,0.4
"Senna","ADC",4,"10.8%","13.5%","29.7%","25%","50%",11,16,42,3.3,"84.1%","22.2%","0%",-644,-518,-73.3,2.5,"13.8%",649,"25.7%","17.7%",1.17,0.63
"Senna","Support",2,"5.4%","13.5%","29.7%","100%","0%",10,1,23,33,"86.8%","10.0%","0%",1003,833,-4.5,2.8,"13.5%",540,"27.7%","20.3%",1.61,0.59
"Seraphine","ADC",1,"2.7%","27.0%","37.8%","0%","100%",0,3,15,5,"78.9%","17.6%","100%",-354,290,3,6.3,"20.7%",588,"23.2%","16.9%",0.5,0.31
"Seraphine","Middle",3,"8.1%","27.0%","37.8%","67%","67%",8,10,29,3.7,"88.1%","24.4%","0%",-101,16,5,7.7,"20.3%",429,"23.3%","20.6%",0.46,0.17
"Sett","Middle",1,"2.7%","0.0%","10.8%","0%","0%",0,7,2,0.3,"33.3%","30.4%","0%",-1246,-377,-9,6.3,"18.8%",319,"21.3%","17.5%",0.4,0.13
"Sett","Support",3,"8.1%","0.0%","10.8%","67%","100%",5,14,18,1.6,"62.2%","35.0%","0%",-58,-12,4,1.4,"3.3%",170,"10.1%","9.1%",1.62,0.58
"Shen","Top",1,"2.7%","0.0%","2.7%","100%","100%",5,0,10,15,"75.0%","0.0%","0%",245,271,11,6.9,"16.9%",288,"15.1%","19.5%",0.62,0.47
"Sion","Top",6,"16.2%","32.4%","48.6%","50%","100%",5,18,49,3,"68.4%","22.5%","17%",-382,-137,-13.7,7.2,"21.7%",445,"22.6%","18.6%",0.43,0.18
"Sylas","Middle",5,"13.5%","64.9%","78.4%","100%","0%",28,17,33,3.6,"65.6%","23.6%","60%",135,-345,-14.6,7.6,"23.3%",516,"26.7%","22.8%",0.35,0.24
"Syndra","Middle",2,"5.4%","8.1%","13.5%","50%","100%",5,9,10,1.7,"65.2%","25.0%","0%",-22,129,1,8.3,"26.7%",635,"27.3%","25.3%",0.49,0.28
"Tahm Kench","ADC",2,"5.4%","45.9%","67.6%","100%","100%",1,2,30,15.5,"81.6%","20.0%","0%",268,211,-2.5,5.7,"11.0%",153,"8.2%","16.5%",0.25,0.16
"Tahm Kench","Support",6,"16.2%","45.9%","67.6%","17%","17%",8,14,32,2.9,"63.5%","15.1%","17%",470,228,32,2.9,"6.2%",177,"8.6%","11.9%",1.02,0.2
"Thresh","Support",4,"10.8%","89.2%","100.0%","50%","0%",3,7,43,6.6,"79.3%","15.6%","25%",50,78,-3.3,1.1,"2.1%",123,"6.0%","9.5%",1.65,0.39
"Tristana","ADC",16,"43.2%","24.3%","67.6%","44%","44%",75,45,67,3.2,"69.6%","17.4%","25%",5,159,-4.4,9.7,"35.6%",583,"28.6%","29.4%",0.91,0.52
"Twisted Fate","Middle",3,"8.1%","18.9%","27.0%","67%","67%",7,11,26,3,"70.2%","21.2%","0%",-128,-264,-7,7.8,"26.4%",506,"21.2%","24.6%",0.52,0.2
"Udyr","Jungle",15,"40.5%","40.5%","81.1%","67%","60%",26,33,121,4.5,"75.0%","20.4%","33%",-17,230,2.8,5.9,"15.9%",204,"11.3%","17.3%",0.43,0.45
"Urgot","Top",2,"5.4%","2.7%","8.1%","0%","100%",8,8,3,1.4,"47.8%","22.9%","0%",-125,16,5,9,"28.2%",350,"19.3%","24.6%",0.3,0.38
"Varus","ADC",3,"8.1%","0.0%","8.1%","33%","100%",9,12,7,1.3,"66.7%","27.9%","33%",80,-77,-2.3,9.1,"29.7%",510,"29.7%","26.9%",0.54,0.32
"Viktor","Middle",8,"21.6%","21.6%","43.2%","25%","63%",18,35,42,1.7,"71.4%","25.4%","13%",-122,-185,3,8.2,"24.2%",639,"32.9%","23.1%",0.53,0.15
"Volibear","Jungle",17,"45.9%","18.9%","67.6%","35%","71%",49,59,113,2.7,"70.7%","19.6%","65%",54,-247,-3.3,4.8,"13.2%",300,"14.1%","16.6%",0.42,0.38
"Volibear","Top",1,"2.7%","18.9%","67.6%","0%","100%",4,3,0,1.3,"66.7%","13.0%","0%",411,593,26,7.7,"26.4%",538,"36.0%","31.0%",0.27,0.09
"Wukong","Top",1,"2.7%","2.7%","5.4%","0%","100%",3,3,9,4,"85.7%","17.6%","0%",423,338,-2,6.6,"20.5%",333,"19.1%","20.8%",0.29,0.29
"Xayah","ADC",6,"16.2%","18.9%","35.1%","33%","100%",24,20,28,2.6,"66.7%","19.2%","17%",9,102,-0.3,9.9,"35.8%",507,"28.2%","29.3%",0.44,0.4
"Xin Zhao","Jungle",1,"2.7%","0.0%","2.7%","0%","100%",2,4,7,2.3,"81.8%","20.0%","100%",-163,309,4,5.6,"19.8%",533,"27.4%","21.4%",0.38,0.6
"Yone","Middle",1,"2.7%","2.7%","5.4%","100%","100%",9,0,7,16,"76.2%","0.0%","0%",-80,-83,3,9.7,"28.9%",472,"20.3%","25.7%",0.33,0.16
"Zoe","Middle",1,"2.7%","27.0%","29.7%","0%","0%",3,1,3,6,"54.5%","5.0%","0%",-207,268,5,7.5,"24.0%",561,"28.8%","23.5%",0.66,0.19
