"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Varus","ADC",2,"8.7%","4.3%","13.0%","50%","100%",9,6,15,4,"77.4%","19.4%","50%",-155,-88,-4.5,7.5,"26.2%",723,"31.5%","23.7%",0.72,0.34
"Vayne","ADC",1,"4.3%","13.0%","17.4%","0%","100%",4,1,2,6,"100.0%","9.1%","100%",641,163,12,9.4,"32.2%",388,"29.4%","28.2%",0.37,0.57
"Viktor","Middle",8,"34.8%","30.4%","65.2%","38%","13%",31,17,41,4.2,"65.5%","14.8%","0%",-50,30,-0.1,9,"28.8%",620,"31.2%","25.0%",0.42,0.2
"Volibear","Jungle",5,"21.7%","4.3%","30.4%","20%","80%",10,16,29,2.4,"81.3%","20.0%","20%",-283,-687,-16.4,4.8,"12.4%",196,"11.2%","16.1%",0.37,0.44
"Volibear","Top",1,"4.3%","4.3%","30.4%","100%","0%",3,1,12,15,"75.0%","11.1%","100%",213,-1,6,6.3,"17.3%",316,"13.5%","18.8%",0.4,0.19
"Wukong","-",0,"0%","4.3%","4.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Xayah","ADC",3,"13.0%","26.1%","39.1%","100%","67%",27,7,29,8,"83.6%","23.3%","67%",500,419,18,10.3,"35.4%",963,"41.9%","29.9%",0.37,0.43
"Yone","Middle",3,"13.0%","30.4%","43.5%","67%","67%",11,10,10,2.1,"60.0%","27.8%","33%",-59,-189,-4.3,8.6,"25.8%",393,"20.9%","24.3%",0.36,0.16
"Zilean","Middle",2,"8.7%","13.0%","21.7%","100%","50%",10,3,29,13,"78.0%","15.8%","50%",-177,290,-2,8,"27.4%",408,"16.7%","23.0%",0.43,0.09
"Zoe","Middle",2,"8.7%","26.1%","34.8%","50%","50%",9,4,15,6,"75.0%","17.4%","0%",-213,273,2.5,7.6,"22.2%",649,"29.8%","22.3%",0.46,0.14
