"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Gangplank","Top",2,"20.0%","0.0%","20.0%","0%","100%",3,8,1,0.5,"44.4%","26.7%","0%",-457,-162,6,8.2,"26.1%",429,"26.9%","25.3%",0.39,0.05
"Gnar","-",0,"0%","10.0%","10.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Hecarim","Jungle",1,"10.0%","30.0%","40.0%","0%","0%",2,3,3,1.7,"50.0%","20.0%","0%",106,306,9,5.4,"16.9%",170,"10.7%","19.8%",0.43,0.43
"Irelia","Top",1,"10.0%","90.0%","100.0%","100%","0%",6,2,8,7,"82.4%","15.4%","0%",277,511,19,8,"24.9%",346,"16.3%","22.9%",0.59,0.2
"Janna","Support",1,"10.0%","0.0%","10.0%","0%","100%",0,2,4,2,"66.7%","15.4%","0%",-259,115,-1,0.1,"0.0%",184,"10.2%","10.1%",0.8,0.08
"Jarvan IV","Jungle",2,"20.0%","70.0%","100.0%","0%","50%",1,7,14,2.1,"83.3%","24.1%","0%",-499,-508,-11.5,4.7,"15.4%",96,"7.1%","16.1%",1.07,0.53
"Jarvan IV","Top",1,"10.0%","70.0%","100.0%","100%","0%",6,0,5,11,"64.7%","0.0%","100%",801,796,0,9.4,"26.5%",430,"23.7%","24.4%",0.44,0.22
"Jax","-",0,"0%","20.0%","20.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Jayce","-",0,"0%","70.0%","70.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Kai'Sa","ADC",1,"10.0%","0.0%","10.0%","0%","100%",5,2,7,6,"92.3%","11.8%","0%",-58,-538,-3,8.2,"31.2%",583,"30.0%","26.0%",0.25,0.37
"Karma","Support",1,"10.0%","10.0%","20.0%","0%","0%",2,5,4,1.2,"85.7%","23.8%","0%",65,-213,1,0.5,"2.4%",259,"15.2%","9.4%",1.4,0.23
"Karthus","ADC",1,"10.0%","30.0%","40.0%","100%","0%",2,0,10,12,"66.7%","0.0%","100%",291,545,11,10.4,"34.8%",466,"24.5%","22.6%",0.34,0.34
"Kassadin","Middle",1,"10.0%","0.0%","10.0%","100%","100%",0,4,3,0.8,"25.0%","33.3%","0%",277,514,9,8.2,"21.6%",163,"11.0%","18.7%",0.52,0.18
"Kayle","Middle",2,"20.0%","30.0%","80.0%","100%","0%",7,3,11,6,"64.3%","18.8%","0%",-263,-64,-1.5,9.5,"31.1%",558,"31.6%","25.0%",0.6,0.26
"Kayle","Top",3,"30.0%","30.0%","80.0%","100%","0%",16,2,15,15.5,"63.3%","7.1%","0%",-232,-18,-3.7,8.9,"30.6%",478,"26.4%","27.0%",0.44,0.11
"Kennen","Top",2,"20.0%","50.0%","70.0%","0%","50%",5,6,5,1.7,"47.6%","26.1%","0%",286,-11,-1.5,7.9,"25.4%",510,"28.8%","24.3%",0.44,0.14
"Kha'Zix","Jungle",1,"10.0%","0.0%","10.0%","100%","100%",9,1,2,11,"91.7%","8.3%","0%",-284,138,-5,5.3,"14.6%",492,"33.3%","25.9%",0.26,0.29
"Lissandra","Middle",2,"20.0%","0.0%","20.0%","50%","50%",4,6,10,2.3,"58.3%","25.0%","0%",360,194,2,9.2,"24.9%",509,"29.0%","23.9%",0.35,0.13
"Lucian","ADC",1,"10.0%","10.0%","20.0%","0%","0%",3,1,5,8,"66.7%","8.3%","100%",1180,407,29,9.3,"32.0%",498,"23.2%","28.1%",0.33,0.18
