"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Thresh","Support",2,"16.7%","0.0%","16.7%","100%","50%",4,2,26,15,"81.1%","13.3%","50%",125,-350,-13.5,0.4,"1.4%",174,"7.3%","12.1%",1.55,0.33
"Tristana","ADC",1,"8.3%","8.3%","16.7%","100%","0%",6,1,4,10,"62.5%","12.5%","0%",393,446,7,10.2,"37.3%",631,"33.5%","31.5%",0.55,0.53
"Varus","ADC",5,"41.7%","25.0%","66.7%","60%","0%",11,10,22,3.3,"62.3%","21.7%","40%",235,-55,3.2,9.9,"32.4%",361,"23.7%","26.5%",0.54,0.44
"Vayne","ADC",3,"25.0%","8.3%","33.3%","67%","67%",6,9,20,2.9,"83.9%","24.3%","0%",-611,-90,-7.3,8.9,"29.6%",375,"29.9%","26.0%",0.42,0.4
"Vel'Koz","Middle",1,"8.3%","8.3%","16.7%","0%","100%",0,2,4,2,"50.0%","12.5%","0%",-110,-152,-7,8.1,"22.5%",262,"24.8%","21.2%",0.51,0.14
"Vladimir","Middle",1,"8.3%","33.3%","66.7%","100%","100%",6,2,16,11,"84.6%","25.0%","0%",183,58,7,7.4,"22.4%",959,"35.2%","22.5%",0.51,0.17
"Vladimir","Top",3,"25.0%","33.3%","66.7%","33%","100%",7,7,11,2.6,"60.0%","23.3%","33%",-515,47,-9.7,8.4,"26.5%",421,"30.7%","23.8%",0.52,0.15
"Xayah","ADC",1,"8.3%","0.0%","8.3%","100%","100%",4,1,9,13,"81.3%","12.5%","0%",279,-372,-6,10.8,"34.2%",530,"28.0%","28.7%",0.43,0.74
"Xin Zhao","Jungle",1,"8.3%","0.0%","8.3%","100%","0%",4,4,11,3.8,"68.2%","26.7%","0%",52,464,6,4.5,"11.4%",271,"13.7%","15.8%",0.8,0.37
"Yorick","Top",1,"8.3%","58.3%","66.7%","100%","100%",1,2,2,1.5,"60.0%","66.7%","0%",-792,-551,-16,9,"31.5%",287,"41.5%","26.0%",0.56,0.25
"Zac","Jungle",2,"16.7%","0.0%","16.7%","50%","100%",2,4,18,5,"74.1%","20.0%","100%",-46,-42,-16.5,4.7,"12.8%",159,"9.8%","16.3%",0.5,0.61
"Zoe","Middle",1,"8.3%","41.7%","50.0%","100%","100%",2,0,6,8,"66.7%","0.0%","100%",464,340,14,8.9,"23.5%",632,"30.5%","21.5%",0.47,0.13
