"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Vayne","Middle",1,"2.7%","0.0%","5.4%","100%","100%",5,2,4,4.5,"69.2%","20.0%","0%",260,314,12,9.8,"26.8%",306,"20.9%","25.6%",0.41,0.29
"Vel'Koz","Middle",2,"5.4%","0.0%","5.4%","50%","100%",10,7,19,4.1,"69.0%","18.4%","50%",743,423,9,8.3,"25.8%",646,"30.1%","24.2%",0.54,0.1
"Vi","Jungle",2,"5.4%","0.0%","5.4%","50%","100%",9,5,15,4.8,"70.6%","15.2%","50%",495,364,7.5,4.9,"15.8%",246,"16.8%","18.1%",0.43,0.26
"Viktor","Top",1,"2.7%","0.0%","2.7%","0%","100%",3,1,0,3,"75.0%","20.0%","0%",-241,-265,4,7.8,"23.0%",713,"49.1%","24.9%",0.51,0.2
"Vladimir","ADC",1,"2.7%","10.8%","24.3%","0%","100%",3,1,2,5,"50.0%","4.2%","0%",87,-138,-13,10,"27.6%",581,"32.1%","25.3%",0.36,0.08
"Vladimir","Middle",1,"2.7%","10.8%","24.3%","0%","100%",1,3,4,1.7,"83.3%","23.1%","100%",20,285,7,8.6,"25.2%",495,"30.8%","22.4%",0.3,0.2
"Vladimir","Top",3,"8.1%","10.8%","24.3%","67%","67%",10,3,6,5.3,"48.5%","15.8%","0%",-73,243,6.3,7.9,"24.4%",521,"32.7%","22.9%",0.54,0.17
"Xayah","ADC",1,"2.7%","0.0%","2.7%","0%","0%",4,6,6,1.7,"71.4%","24.0%","100%",-94,-190,-11,9.1,"28.5%",661,"30.9%","26.5%",0.48,0.39
"Xin Zhao","Jungle",2,"5.4%","0.0%","5.4%","100%","100%",7,4,19,6.5,"60.5%","30.8%","50%",613,78,-1,5.6,"14.0%",316,"15.3%","16.7%",0.57,0.51
"Yasuo","Middle",2,"5.4%","2.7%","8.1%","50%","50%",7,7,11,2.6,"41.9%","24.1%","50%",-52,-152,-3,8.4,"23.6%",427,"19.9%","21.3%",0.38,0.12
"Ziggs","Middle",2,"5.4%","0.0%","5.4%","50%","50%",4,4,2,1.5,"54.5%","28.6%","0%",-18,34,1.5,8.2,"25.3%",512,"35.0%","22.3%",0.66,0.16
"Zilean","Support",1,"2.7%","0.0%","2.7%","0%","100%",0,2,2,1,"66.7%","11.8%","0%",155,257,-8,0.6,"1.7%",177,"13.1%","10.3%",1.17,0.28
"Zoe","Middle",8,"21.6%","8.1%","29.7%","75%","25%",32,12,58,7.5,"60.0%","10.8%","25%",76,-79,-2.5,8.6,"26.2%",614,"28.2%","22.7%",0.48,0.18
