"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Irelia","Top",1,"5.6%","0.0%","5.6%","100%","100%",3,3,3,2,"42.9%","42.9%","0%",-700,-919,-9,8.4,"28.4%",312,"15.0%","21.3%",0.42,0.1
"Jayce","Top",3,"16.7%","0.0%","16.7%","0%","67%",6,9,7,1.4,"61.9%","23.7%","33%",296,-25,6.7,8.7,"28.2%",588,"32.4%","25.8%",0.36,0.26
"Jinx","ADC",5,"27.8%","38.9%","66.7%","60%","20%",23,7,22,6.4,"73.8%","17.9%","20%",99,50,-1.2,10.5,"34.0%",638,"36.2%","29.1%",0.45,0.6
"Kai'Sa","ADC",4,"22.2%","11.1%","33.3%","75%","100%",13,9,23,4,"65.5%","20.0%","0%",-492,-357,-10.5,9.5,"30.6%",474,"23.5%","25.0%",0.84,0.31
"Kalista","ADC",4,"22.2%","55.6%","77.8%","75%","25%",15,8,28,5.4,"76.8%","19.0%","0%",381,328,34.3,10.3,"33.7%",480,"24.1%","28.6%",1.18,0.73
"Leona","Support",4,"22.2%","5.6%","27.8%","75%","50%",2,10,36,3.8,"59.4%","23.3%","25%",-236,-61,-13,1.2,"2.6%",129,"6.3%","8.1%",1.81,0.46
"Lillia","Jungle",2,"11.1%","0.0%","11.1%","50%","100%",7,5,15,4.4,"81.5%","16.7%","0%",30,576,14.5,7.6,"21.9%",523,"27.4%","21.9%",0.62,0.57
"Lucian","-",0,"0%","33.3%","33.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Lulu","Top",1,"5.6%","0.0%","5.6%","0%","100%",2,2,0,1,"66.7%","15.4%","0%",127,191,2,5.3,"10.5%",234,"20.2%","17.3%",0.3,0.16
"Neeko","Support",1,"5.6%","0.0%","5.6%","0%","100%",1,3,2,1,"33.3%","18.8%","0%",243,384,-10,0.4,"1.5%",220,"11.5%","8.0%",1.98,0.21
"Nidalee","Jungle",5,"27.8%","5.6%","33.3%","60%","80%",17,9,34,5.7,"72.9%","11.5%","60%",21,-35,-2.6,6.6,"19.9%",506,"22.1%","20.3%",0.69,0.92
"Nocturne","-",0,"0%","11.1%","11.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
